IATA Code,Airport,Annual Passengers,Country,Location,Passenger Role
DME,Domodedovo International Airport,33039531,Russia,Moscow,Large
MMK,Murmansk Airport,751258,Russia,Murmansk,Small
NJC,Nizhnevartovsk Airport,660652,Russia,Nizhnevartovsk,Small
NBC,Begishevo Airport,366671,Russia,Nizhnekamsk,Small
GOJ,Strigino Airport,952078,Russia,Nizhny Novgorod,Small
OVB,Tolmachevo Airport,3703211,Russia,Novosibirsk,Medium
OMS,Omsk Tsentralny Airport,887600,Russia,Omsk,Small
REN,Orenburg Tsentralny Airport,629910,Russia,Orenburg,Small
PEE,Perm International Airport,1288368,Russia,Perm,Small
PKC,Yelizovo Airport,602800,Russia,Petropavlovsk-Kamchatsky,Small
ROV,Platov International Airport,2062761,Russia,Rostov-on-Don,Small
LED,Pulkovo Airport,13500125,Russia,Saint Petersburg,Medium
KUF,Samara Kurumoch Airport,2208127,Russia,Samara,Small
GSV,Saratov Gagarin Airport,449304,Russia,Saratov,Small
AER,Sochi International Airport,4088606,Russia,Sochi,Medium
SGC,Surgut International Airport,989751,Russia,Surgut,Small
SCW,Syktyvkar Airport,440546,Russia,Syktyvkar,Small
TOF,Bogashevo Airport,226328,Russia,Tomsk,Non-Hub
TJM,Roshchino International Airport,1399264,Russia,Tyumen,Small
UFA,Ufa International Airport,2313358,Russia,Ufa,Small
VVO,Vladivostok International Airport,1698000,Russia,Vladivostok,Small
OGZ,Beslan Airport,338011,Russia,Vladikavkaz,Non-Hub
VOG,Volgograd International Airport,901522,Russia,Volgograd,Small
VOZ,Voronezh International Airport,455078,Russia,Voronezh,Small
YKS,Yakutsk Airport,871875,Russia,Yakutsk,Small
SVX,Koltsovo International Airport,4247541,Russia,Yekaterinburg,Medium
UUS,Yuzhno-Sakhalinsk Airport,849184,Russia,Yuzhno-Sakhalinsk,Small
AAL,Aalborg Airport,1440477,Denmark,Aalborg,Small
AAR,Aarhus Airport,364546,Denmark,Aarhus,Small
BLL,Billund Airport,2910735,Denmark,Billund,Medium
CPH,Copenhagen Airport,26610332,Denmark,Copenhagen,Large
FAE,Vágar Airport,276385,Faroe Islands,Vágar,Non-Hub
MHQ,Mariehamn Airport,59336,Finland,Åland,Non-Hub
HEL,Helsinki-Vantaa Airport,16422266,Finland,Helsinki,Medium
KTT,Kittilä Airport,226819,Finland,Kittilä,Non-Hub
KUO,Kuopio Airport,232267,Finland,Kuopio,Non-Hub
KAO,Kuusamo Airport,68905,Finland,Kuusamo,Non-Hub
LPP,Lappeenranta Airport,35792,Finland,Lappeenranta,Non-Hub
OUL,Oulu Airport,982793,Finland,Oulu,Small
RVN,Rovaniemi Airport,478347,Finland,Rovaniemi,Small
TMP,Tampere–Pirkkala Airport,357082,Finland,Tampere,Small
TKU,Turku Airport,312105,Finland,Turku,Non-Hub
VAA,Vaasa Airport,282437,Finland,Vaasa,Non-Hub
AEY,Akureyri Airport,176576,Iceland,Akureyri,Non-Hub
KEF,Keflavik International Airport,4858776,Iceland,Reykjavík,Medium
AES,Ålesund Airport,1080045,Norway,Ålesund,Small
BGO,Bergen Airport,6020866,Norway,Bergen,Medium
BOO,Bodø Airport,1733330,Norway,Bodø,Small
HAU,Haugesund Airport,659937,Norway,Haugesund,Small
KRS,"Kristiansand Airport, Kjevik",1058231,Norway,Kristiansand,Small
OSL,"Oslo Airport, Gardermoen",24678195,Norway,Oslo,Large
SVG,Stavanger Airport,4501368,Norway,Stavanger,Medium
TOS,Tromsø Airport,2009146,Norway,Tromsø,Small
TRD,Trondheim Airport,4352721,Norway,Trondheim,Medium
GOT,Göteborg Landvetter Airport,6162456,Sweden,Gothenburg,Medium
LLA,Luleå Airport,1177131,Sweden,Luleå,Small
MMX,Malmö Airport,2169901,Sweden,Malmö,Small
NRK,Norrköping Airport,109137,Sweden,Norrköping,Non-Hub
OSD,Åre Östersund Airport,465196,Sweden,Östersund,Small
ARN,Stockholm Arlanda Airport,23142536,Sweden,Stockholm,Large
SDL,Sundsvall–Timrå Airport,273527,Sweden,Sundsvall,Small
UME,Umeå Airport,1047081,Sweden,Umeå,Small
VXO,Växjö Airport,185980,Sweden,Växjö,Non-Hub
VBY,Visby Airport,431430,Sweden,Visby,Small
BHX,Birmingham International Airport,10187150,England and Wales,Birmingham,Medium
BOH,Bournemouth Airport,705545,England and Wales,Bournemouth,Small
BRS,Bristol Airport,6786810,England and Wales,Bristol,Medium
CWL,Cardiff Airport,1160335,England and Wales,Cardiff,Small
DSA,Robin Hood Airport Doncaster Sheffield,857020,England and Wales,Doncaster/Sheffield,Small
MME,Durham Tees Valley Airport,140525,England and Wales,Middlesbrough,Non-Hub
EMA,East Midlands Airport,4450810,England and Wales,Nottingham/Leicester,Medium
EXT,Exeter International Airport,821250,England and Wales,Exeter,Small
LBA,Leeds Bradford International Airport,3445235,England and Wales,Leeds/Bradford,Small
LPL,Liverpool John Lennon Airport,4301525,England and Wales,Liverpool,Medium
LCY,London City Airport,4319410,England and Wales,London,Medium
MAN,Manchester Airport,23135890,England and Wales,Manchester,Large
NCL,Newcastle Airport,4562865,England and Wales,Newcastle upon Tyne,Medium
NQY,Newquay Cornwall Airport,250390,England and Wales,Newquay,Non-Hub
NWI,Norwich International Airport,458805,England and Wales,Norwich,Small
SOU,Southampton Airport,1789595,England and Wales,Southampton,Small
ABZ,Aberdeen Airport,3469690,Scotland,Aberdeen,Medium
EDI,Edinburgh Airport,11114615,Scotland,Edinburgh,Medium
GLA,Glasgow International Airport,8714375,Scotland,Glasgow,Medium
INV,Inverness Airport,612835,Scotland,Inverness,Small
BFS,Belfast International Airport,4391315,Northern Ireland,Belfast,Medium
LDY,City of Derry Airport,284335,Northern Ireland,Derry,Non-Hub
ADL,Adelaide Airport,7670110,Australia,Adelaide,Medium
BNE,Brisbane Airport,21918250,Australia,Brisbane,Large
CNS,Cairns Airport,4390950,Australia,Cairns,Medium
OOL,Gold Coast Airport,5867375,Australia,Gold Coast,Medium
HBA,Hobart Airport,2186350,Australia,Hobart,Small
MEL,Melbourne Airport,32314180,Australia,Melbourne,Medium
PER,Perth Airport,13984245,Australia,Perth,Medium
PHE,Port Hedland International Airport,470850,Australia,Port Hedland,Small
SYD,Sydney Airport,39656155,Australia,Sydney,Large
TSV,Townsville Airport,1664035,Australia,Townsville,Small
PPT,Faa'a International Airport,1195010,French Polynesia,Papeete,
AKL,Auckland Airport,15892830,New Zealand,Auckland,
CHC,Christchurch Airport,6092945,New Zealand,Christchurch,
ZQN,Queenstown Airport,1409630,New Zealand,Queenstown,
WLG,Wellington Airport,5457115,New Zealand,Wellington,
